epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix
0,0.0,27.0,27,True,False,((((log(((((((((((x-x)/x)+x)+x)/x)/x)+x)+x)+x)*x))*x))**(0.5))-x),"[sub sqrt mul log mul add add add div div add add div sub x x x x x x x x
 x x x x x]"
0,0.0,20.0,20,True,False,(((sin(((((x-log(((x)**(0.5))))*(x+x))*x)+x))/x)*x)-x),[sub mul div sin add mul mul sub x log sqrt x add x x x x x x x]
0,0.0,19.0,19,True,False,(sin((((((((log((x*((x)**(0.5)))))**(0.5))*x)-x)*x)*x)+x))-x),[sub sin add mul mul sub mul sqrt log mul x sqrt x x x x x x x]
0,0.0,19.0,19,True,False,((((cos(((((((((x+(x-x)))**(0.5))*x)+x)*x))**(0.5))))**(0.5))/x)/x),[div div sqrt cos sqrt mul add mul sqrt add x sub x x x x x x x]
0,0.0,16.0,16,True,False,(log(sin(((((((x)**(0.5))*(x-x))+x)*x)-x)))*x),[mul log sin sub mul add mul sqrt x sub x x x x x x]
0,0.0,14.0,14,True,False,(x-(x-(x-log(sin(((((x+x))**(0.5))+x)))))),[sub x sub x sub x log sin add sqrt add x x x]
0,0.0,21.0,21,True,False,((((x*(x*(sin((((((x-x)-x)+x)*x)+x))/x)))/x))**(0.5)),[sqrt div mul x mul x div sin add mul add sub sub x x x x x x x x]
0,0.0,20.0,20,True,False,cos((x/(log((((((((((((x+x))**(0.5))+x))**(0.5)))**(0.5))/x)/x)+x))+x))),[cos div x add log add div div sqrt sqrt add sqrt add x x x x x x x]
0,0.0,15.0,15,True,False,cos(((((x)**(0.5))/((((log((((x/(x-x)))**(0.5))))**(0.5)))**(0.5)))+x)),[cos add div sqrt x sqrt sqrt log sqrt div x sub x x x]
0,0.0,18.0,18,True,False,((x+(((((log((cos((x+x))/x))*x))**(0.5))+x)/x))-x),[sub add x div add sqrt mul log div cos add x x x x x x x]
0,0.0,21.0,21,True,False,((cos(log((((((((x+x)/x)/x)-x)-x)-x)+x)))+x)/x),[div add cos log add sub sub sub div div add x x x x x x x x x x]
0,0.0,19.0,19,True,False,((((sin((log((x/((x+x)-x)))+x))/x)-x)-x)/x),[div sub sub div sin add log div x sub add x x x x x x x x]
0,0.0,18.0,18,True,False,(x+cos(log(((((((((x)**(0.5))/x)+x)*x)/x)-x)*x)))),[add x cos log mul sub div mul add div sqrt x x x x x x x]
0,0.0,22.0,22,True,False,(cos((log((((((((((((x*(x/x))+x))**(0.5))*x)/x))**(0.5)))**(0.5))-x))*x))+x),[add cos mul log sub sqrt sqrt div mul sqrt add mul x div x x x x x x x x]
0,0.0,20.0,20,True,False,(x+cos(((x-(((((x)**(0.5))+(((x/(x+x)))**(0.5)))/x)+x))/x))),[add x cos div sub x add div add sqrt x sqrt div x add x x x x x]
0,0.0,22.0,22,True,False,((((sin((((((x-((((x/x)-x))**(0.5)))+x))**(0.5))*x))/x)/x)/x)*x),[mul div div div sin mul sqrt add sub x sqrt sub div x x x x x x x x x]
0,0.0,21.0,21,True,False,((((((((((((((((x/x)/x))**(0.5))-x))**(0.5))+x)+x))**(0.5))/x)/x))**(0.5))-x),[sub sqrt div div sqrt add add sqrt sub sqrt div div x x x x x x x x x]
0,0.0,19.0,19,True,False,((((((cos((log(x)*(x+log((x+x)))))/x)*x)-x)-x))**(0.5)),[sqrt sub sub mul div cos mul log x add x log add x x x x x x]
0,0.0,15.0,15,True,False,cos(((((x/((x/log((((x)**(0.5))-x)))+x)))**(0.5))-x)),[cos sub sqrt div x add div x log sub sqrt x x x x]
0,0.0,16.0,16,True,False,cos((log(((((x*(x-((x-x)*x)))*x))**(0.5)))+x)),[cos add log sqrt mul mul x sub x mul sub x x x x x]
0,0.0,19.0,19,True,False,(sin((((x/((((((x+x)*x))**(0.5))*x)-x))*x)+x))/x),[div sin add mul div x sub mul sqrt mul add x x x x x x x x]
0,0.0,20.0,20,True,False,(((((((((sin((x-((x)**(0.5))))/x)-x)-x)/x)*x))**(0.5))*x)*x),[mul mul sqrt mul div sub sub div sin sub x sqrt x x x x x x x x]
0,0.0,19.0,19,True,False,((((log((((((((sin((((x+x)+x)*x))+x)*x)*x))**(0.5)))**(0.5))))**(0.5)))**(0.5)),[sqrt sqrt log sqrt sqrt mul mul add sin mul add add x x x x x x x]
0,0.0,18.0,18,True,False,log((cos(((((((x*(x+(x-x))))**(0.5))-x)-x)*x))+x)),[log add cos mul sub sub sqrt mul x add x sub x x x x x x]
0,0.0,17.0,17,True,False,((((((log(((((((x-x))**(0.5))-x))**(0.5)))*x)-x)/x))**(0.5))/x),[div sqrt div sub mul log sqrt sub sqrt sub x x x x x x x]
0,0.0,20.0,20,True,False,sin(log(((((((((((x+x)-x)/x)/x)-x)*x)-x)-x))**(0.5)))),[sin log sqrt sub sub mul sub div div sub add x x x x x x x x x]
0,0.0,16.0,16,True,False,(cos((((((((log((((x+x)/x)*x)))**(0.5))+x))**(0.5)))**(0.5)))*x),[mul cos sqrt sqrt add sqrt log mul div add x x x x x x]
0,0.0,19.0,19,True,False,cos((((((((log((x+x))-x)-x)*x)/x)+x)-x)-x)),[cos sub sub add div mul sub sub log add x x x x x x x x x]
0,0.0,17.0,17,True,False,(log(cos(((x+(x+(x+(x-x))))-(x-x))))/x),[div log cos sub add x add x add x sub x x sub x x x]
0,0.0,14.0,14,True,False,(x/sin(((x-log(((((x-x))**(0.5))+x)))*x))),[div x sin mul sub x log add sqrt sub x x x x]
0,0.0,15.0,15,True,False,log(((sin(((((((((((x)**(0.5)))**(0.5)))**(0.5))+x)-x))**(0.5)))-x)*x)),[log mul sub sin sqrt sub add sqrt sqrt sqrt x x x x x]
0,0.0,16.0,16,True,False,sin(((log((x-(x+((((x-x)*x)/x)*x)))))**(0.5))),[sin sqrt log sub x add x mul div mul sub x x x x x]
0,0.0,21.0,21,True,False,log(sin(((x+((((x/(((x*x)-x)/x))/x)*x)/x))+x))),[log sin add add x div mul div div x div sub mul x x x x x x x x]
0,0.0,20.0,20,True,False,((x-x)+(((cos(((((log(x)+(x-x))*x)/x)*x)))**(0.5))*x)),[add sub x x mul sqrt cos mul div mul add log x sub x x x x x x]
0,0.0,18.0,18,True,False,cos(((((log((((x-((x-x)*x))+x)-x))-x))**(0.5))-x)),[cos sub sqrt sub log sub add sub x mul sub x x x x x x x]
0,0.0,25.0,25,True,False,((((log(sin(((((x/(((x+x)*x)*x))/x)*x)-x)))*x)*x)/x)/x),"[div div mul mul log sin sub mul div div x mul mul add x x x x x x x x x x
 x]"
0,0.0,17.0,17,True,False,((cos(((((((((((x-x)-x)+x)/x))**(0.5))+x))**(0.5))/x)))**(0.5)),[sqrt cos div sqrt add sqrt div add sub sub x x x x x x x]
0,0.0,13.0,13,True,False,sin(((((x)**(0.5))*log(((x-((x)**(0.5)))-x)))+x)),[sin add mul sqrt x log sub sub x sqrt x x x]
0,0.0,20.0,20,True,False,sin((((((x-((((((x*(x-x))+x)-x))**(0.5))/x))-x)+x))**(0.5))),[sin sqrt add sub sub x div sqrt sub add mul x sub x x x x x x x]
0,0.0,6.0,6,True,False,log(sin((((x+x))**(0.5)))),[log sin sqrt add x x]
0,0.0,23.0,23,True,False,cos(log(((x-(((((((x+(x+x))+x)-x)/x)-x)*x)-x))-x))),[cos log sub sub x sub mul sub div sub add add x add x x x x x x x x x]
0,0.0,18.0,18,True,False,sin(((log((((x-((x*((x/x)-x))-x)))**(0.5)))+x)*x)),[sin mul add log sqrt sub x sub mul x sub div x x x x x x]
0,0.0,16.0,16,True,False,(log(x)+(x*(((((((log(sin(x)))**(0.5))*x))**(0.5))+x)+x))),[add log x mul x add add sqrt mul sqrt log sin x x x x]
0,0.0,21.0,21,True,False,(((log(((cos((((x*(x-x))-x)*x))-x)-x))/x)/x)*x),[mul div div log sub sub cos mul sub mul x sub x x x x x x x x x]
0,0.0,17.0,17,True,False,(x-((log(x)*(cos((x-((x+x)*x)))+x))*x)),[sub x mul mul log x add cos sub x mul add x x x x x]
0,0.0,6.0,6,True,False,cos(((x/x)+x)),[cos add div x x x]
0,0.0,15.0,15,True,False,(log(sin(((x-x)*(x+((x)**(0.5))))))-(sin(x)/x)),[sub log sin mul sub x x add x sqrt x div sin x x]
0,0.0,18.0,18,True,False,sin((x-(((log(((x+x)-(((x/x))**(0.5))))+x)*x)/x))),[sin sub x div mul add log sub add x x sqrt div x x x x x]
0,0.0,18.0,18,True,False,(((x+((log(x)/(((x+x)*x)+x))+x))/x)*x),[mul div add x add div log x add mul add x x x x x x x]
0,0.0,19.0,19,True,False,((x-(sin((((((((x+x)+x))**(0.5))*x)+x)/x))/x))+x),[add sub x div sin div add mul sqrt add add x x x x x x x x]
0,0.0,17.0,17,True,False,((x-(cos((x-((log(x)/(x-x))+x)))-x))+x),[add sub x sub cos sub x add div log x sub x x x x x]
